Match Point|Name|Geography|Watsonline|Watsonline URL|Wikipedia|Wikipedia URL|Met Collection|Met Collection URL|NAARCO|NAARCO URL|Medium|Birth Year|Death Year|Cross-Index|Wikidata ID|ULAN ID|VIAF URI|NACO|Alternate name(s)|Last name|First name
NA-1006|Chacon, Raven|Navajo Region|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chacon,%20Raven%22%20or%20%22Raven%20Chacon%22&searchscope=1&SORT=A|Wikipedia|https://en.wikipedia.org/wiki/Raven_Chacon|||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=ac23831e-4d5e-4991-8530-9d0fcb774598|installation artist; interdisciplinary artist; multimedia artist; time-based media artist|1977|||Q7296393||http://viaf.org/viaf/51519489|no2008176137||Chacon|Raven
NA-0321|Chaddlesone, Sherman|Southern Plains|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chaddlesone%2C+Sherman%22+or+%22Sherman+Chaddlesone%22+or+%22Sherman+Chaddleson%22&searchscope=1&sortdropdown=-&SORT=A&extended=0&SUBMIT=Search&searchlimits=&searchorigarg=X%22Chaddlesone%2C+Sherman%22+or+%22Sherman+Chaddlesone%22%26SORT%3DA|Wikipedia|https://en.wikipedia.org/wiki/Sherman_Chaddlesone|||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=45e7e186-cc0f-4978-920c-6366a21749b0|mixed-media artist; muralist; painter; sculptor|1947|2013||Q19646644|500126527|http://viaf.org/viaf/48142845|n83156595|Sherman Chaddleson|Chaddlesone|Sherman
NA-1874|Chalee, Pop|Southwest|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chalee%2C+Pop%22+or+%22Pop+Chalee%22+or+%22Marina+Lujan%22&searchscope=1&sortdropdown=-&SORT=A&extended=0&SUBMIT=Search&searchlimits=&searchorigarg=X%22Chalee%2C+Pop%22+or+%22Pop+Chalee%22%26SORT%3DA|Wikipedia|https://en.wikipedia.org/wiki/Pop_Chalee|||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=81a88242-aaf4-48d9-9921-e8cb7de60258|muralist; painter; printmaker|1906|1993||Q7228988|500127061|http://viaf.org/viaf/74680537|n97065152|Blue Flower; Marina Lujan; Merina Hopkins; Merina Lujan; Merina Lujan Hopkins; Pah-Hulah-Pah-Pop' Pop-Chalee; Pop-Charlee|Chalee|Pop
NA-0404|Chalepah, Gertrude|Southern Plains|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chalepah,%20Gertrude%22%20or%20%22Gertrude%20Chalepah%22&searchscope=1&SORT=A|||||||painter||||Q121130246|||||Chalepah|Gertrude
NA-1878|Chapman, Jeffrey|Midwest & Central Canada|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chapman%2C+Jeffrey%22+or+%22Jeffrey+Chapman%22+not+%22%09N6846+.B37+2008+%22&searchscope=1&sortdropdown=-&SORT=A&extended=0&SUBMIT=Search&searchlimits=&searchorigarg=X%22Chapman%2C+Jeffrey%22+or+%22Jeffrey+Chapman%22%26SORT%3DA|||||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=650ff234-2385-49fa-8e05-9a1b2d1eefbc|draftsperson; painter|1958|||Q109419413|500126532|http://viaf.org/viaf/46675573|nr98018427|Jeff Chapman|Chapman|Jeffrey
NA-1375|Charette, Damien|Rocky Mountain|Watsonline|https://library.metmuseum.org/search~S1/X?SEARCH=(%22charette%2C%20damien%22%20or%20%22damien%20charette%22%20or%20%22damian%20charette%22)%20or%20(%22damion%20charette%22)&searchscope=1&SORT=R|||||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=0bd6fefc-043f-4865-afac-36959bb110b2|painter|1960|||Q121070465|500487454|http://viaf.org/viaf/2159818535913810732||Damian Charette; Damion Charette|Charette|Damien
NA-0105|Charlie, Nellie|Pacific|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Charlie%2C+Nellie%22+or+%22Nellie+Charlie%22+or+%22Nellie+Jim%22&searchscope=1&sortdropdown=-&SORT=A&extended=0&SUBMIT=Search&searchlimits=&searchorigarg=X%22Charlie%2C+Nellie%22+or+%22Nellie+Charlie%22%26SORT%3DA|Wikipedia|https://en.wikipedia.org/wiki/Nellie_Charlie|||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=c73aa2a1-05ed-4afd-86ff-1e0b9e87b65e|basket maker|1867|1965||Q13560676||||Nellie Jim|Charlie|Nellie
NA-0656|Charlie, Ric|Navajo Region|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Charlie%2C+Ric%22+or+%22Ric+Charlie%22+or+%22Rick+Charlie%22&searchscope=1&sortdropdown=-&SORT=A&extended=0&SUBMIT=Search&searchlimits=&searchorigarg=X%22Charlie%2C+Ric%22+or+%22Ric+Charlie%22%26SORT%3DA|||||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=07de604e-6952-47eb-92a3-0e86efc10497|jewelry artist|1959|||Q121344507|500126535|http://viaf.org/viaf/96614871||Rick Charlie|Charlie|Ric
NA-0140|Charlie, Tina|Pacific|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Charlie,%20Tina%22%20or%20%22Tina%20Charlie%22&searchscope=1&SORT=A|Wikipedia|https://en.wikipedia.org/wiki/Tina_Charlie|||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=68d4bbc7-a444-46b0-bb3e-4aeb9db66b1c|basket maker|1869|1962||Q23016706|||||Charlie|Tina
NA-0125|Chauncey, Florence|Alaska & Northern Canada|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chauncey%2C+Florence%22+or+%22Florence+Nupok+Malewotkuk%22+or+%22florence+chauncey%22&searchscope=1&sortdropdown=-&SORT=A&extended=0&SUBMIT=Search&searchlimits=&searchorigarg=X%22Chauncey%2C+Florence%22+or+%22Florence+Nupok+Malewotkuk%22%26SORT%3DA|Wikipedia|https://en.wikipedia.org/wiki/Florence_Nupok_Malewotkuk|||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=9c3cb718-a54e-47b5-8080-1788b2368c96|draftsperson; painter|1906|1971||Q104415936|500126538|http://viaf.org/viaf/96614902|no2022090116|Florence Malewotkuk; Florence Napuk; Florence Napuk Malewotuk; Florence Nipok; Florence Nupok; Florence Nupok Chauncey; Florence Nupok Malewotkuk; Florence Nupok Malewotuk; Malewotkuk; Nupok; Upright Post|Malewotkuk|Florence Nupok
