Match point|ULAN concat|Wikidata concat|VIAF concat|LC concat|Name|Label|Birth date|Death date|Ancestry/Heritage|Indexes|Description|Watsonline|Watsonline URL|Met Collection|Met Collection URL|Wikipedia|Wikipedia URL|Art Asia America|AAA URL
AAPI-0059||Q4794995|||Chang, Arnold|Arnold  Chang|1954||Chinese||painter;ink artist/calligrapher|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chang%2C+Arnold%20%22%20or%20%22Arnold%20Chang%22&searchscope=1|Met Collection|https://www.metmuseum.org/art/collection/search?q=%22Arnold+Chang+%28American%2C+born+1954%29%22|Wikipedia|https://en.wikipedia.org/wiki/Arnold_Chang ||
AAPI-0060|500385693|Q699135|72332873|nb2002018874|Chang, Chien-Chi|Chien-Chi Chang|1961||Taiwanese||photographer|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chang%2C+Chien-Chi%22%20or%20%22Chien-Chi%20Chang%22&searchscope=1|||Wikipedia|https://en.wikipedia.org/wiki/Chien-Chi_Chang|artasiamerica|http://artasiamerica.org/artist/detail/94
AAPI-0877|||||Chang, Constance|Constance Chang|1924||Chinese||painter;ink artist/calligrapher|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chang%2C+Constance%22%20or%20%22Constance%20Chang%22&searchscope=1||||||
AAPI-0062||Q111590539|||Chang, Jackie|Jackie Chang|1963||Taiwanese||installation artist|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chang%2C+Jackie%22%20or%20%22Jackie%20Chang%22&searchscope=1|||||artasiamerica|http://artasiamerica.org/artist/detail/95
AAPI-0063|500333613|Q7148699|25665733|nr2005022889|Chang, Patty|Patty Chang|1972||Chinese||installation artist;performance artist;time-based media artist|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chang%2C+Patty%22%20or%20%22Patty%20Chang%22&searchscope=1|||Wikipedia|https://en.wikipedia.org/wiki/Patty_Chang||
AAPI-0883|||||Chang, Paul|Paul Chang|||Chinese||painter;ink artist/calligrapher|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Chang%2C+Paul%22+or+%22Paul+Chang%22+not+%22lim%22&searchscope=1||||||
AAPI-0064||Q111182318|||Chang, Rutherford|Rutherford Chang|1979||Taiwanese||conceptual artist|Watsonline|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Chang, Rutherford""%20or%20""Rutherford Chang""&searchscope=1&SORT=A"|||||artasiamerica|http://artasiamerica.org/artist/detail/96
AAPI-0885||Q28663102|||Chang, Shu Chi|Shu Chi Chang|1900|1957|Chinese||painter;ink artist/calligrapher|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%28%22Chang%2C+Shu+Chi%22+or+%22Shu+Chi+Chang%22%29+or+%28Zhang+AND+Shuqi%29&searchscope=1&sortdropdown=-&SORT=R&extended=0&SUBMIT=Search&searchlimits=&searchorigarg=X%28%22Chang%2C+Shu+Chi%22+or+%22Shu+Chi+Chang%22%29+and+%28Zhang+AND+Shuqi%29%26SORT%3DR||||||
AAPI-0066||Q7959690|43081382|n50036659|Chang, Wah Ming|Wah Ming Chang|1917|2003|Chinese;Hawaiian (Kamaʻāina)||designer;illustrator;painter;printmaker;sculptor|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chang%2C+Wah%20Ming%22%20or%20%22Wah%20Ming%20Chang%22&searchscope=1|||Wikipedia|https://en.wikipedia.org/wiki/Wah_Chang||
AAPI-0067|||||Chang, Yuchen|Yuchen Chang|1989||Chinese||book/paper/zine artist|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Chang%2C+Yuchen%22%20or%20%22Yuchen%20Chang%22&searchscope=1||||||
