Match point|ULAN ID|Library of Congress authority ID|Wikidata ID|Name|Birth date|Death date|Heritage/Ancestry|Watson Indexes|Description|Watsonline|Watsonline URL|Watsonline original|Wikipedia|Wikipedia URL|Met Collection|Met Collection URL|Notes
LA-0776|500490190|no2022110432||Aguirre, Jose Antonio|1955||Mexican||muralist|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Aguirre%2C+Jose+Antonio%22%20or%20%22Jose+Antonio+Aguirre%22&searchscope=1&SORT=A|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Aguirre, Jose Antonio""%20or%20""Jose Antonio Aguirre""&searchscope=1&SORT=A"|||||MFA from CalArts and BFA from Art Institute of Chicago; born in Mexico City
LA-0162|500002644|||Alaniz Healy, Wayne|1946||Chicano/a/x||muralist|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Alaniz+Healy%2C+Wayne%22%20or%20%22Wayne+Alaniz+Healy%22&searchscope=1&SORT=A|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Alaniz Healy, Wayne""%20or%20""Wayne Alaniz Healy""&searchscope=1&SORT=A"|||||born in Santa Barbara active in LA
LA-0291||no2019104634|Q23881766|Alba, Elia|1962||Dominican;Afro-Latino/a/x||photographer;sculptor;time-based media artist|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Alba%2C+Elia%22%20or%20%22Elia+Alba%22&searchscope=1&SORT=A|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Alba, Elia""%20or%20""Elia Alba""&searchscope=1&SORT=A"|Wikipedia|https://en.wikipedia.org/wiki/Elia_Alba|||born in Brooklyn,parents from the DR, included in LatinX Project's Afro Syncretic
LA-0779||no2022104414|Q5741582|Albarrán Romero, Herminia|||Mexican||paper artist;sculptor|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Albarr%C3%A1n+Romero%2C+Herminia+%22+or+%22Herminia+Romero%22&searchscope=1&sortdropdown=-&SORT=A&extended=0&SUBMIT=Search&searchlimits=&searchorigarg=X%22Albarr%7Bu00E1%7Dn+Romero%2C+Herminia+%22+or+%22Herminia+Albarr%7Bu00E1%7Dn+Romero%22%26SORT%3DA|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Albarr%C3%A1n+Romero%2C+Herminia+%22+or+%22Herminia+Romero%22&searchscope=1&sortdropdown=-&SORT=A&extended=0&SUBMIT=Search&searchlimits=&searchorigarg=X%22Albarr%7Bu00E1%7Dn+Romero%2C+Herminia+%22+or+%22Herminia+Albarr%7Bu00E1%7Dn+Romero%22%26SORT%3DA|Wikipedia|https://en.wikipedia.org/wiki/Herminia_Albarr%C3%A1n_Romero|||born in Tlatlaya; moved to Mission District of SF in 1981
LA-0043|500371737|no2022074629|Q7086530|Albizu, Olga|1924|2005|Puerto Rican||painter|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Albizu%2C+Olga%22%20or%20%22Olga+Albizu+Rosaly%22&searchscope=1&SORT=A|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Albizu, Olga""%20or%20""Olga Albizu Rosaly""&searchscope=1&SORT=A"|Wikipedia|https://en.wikipedia.org/wiki/Olga_Albizu|||from Puerto Rico, moved to NY in 1948
LA-0780||no2022110442||Alcala, Manuel C.|||Mexican||painter;printmaker|Watsonline|https://library.metmuseum.org/search~S1/X?SEARCH=(%22Alcala%2C%20Manuel%20C.%22%20or%20%22Manuel%20C.%20Alcala%22%20or%20%22manuel%20alcala%22)&searchscope=1&SORT=R|https://library.metmuseum.org/search~S1/X?SEARCH=(%22Alcala%2C%20Manuel%20C.%22%20or%20%22Manuel%20C.%20Alcala%22%20or%20%22manuel%20alcala%22)&searchscope=1&SORT=R|||||previously active in LA; asssociated with Self-Help Graphics
LA-0781|500351055|no00080774|Q6480547|Alcaraz, Lalo|1964||Mexican||graphic artist;illustrator/cartoonist/comic book artist|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Alcaraz%2C+Lalo%22%20or%20%22Lalo+Alcaraz%22&searchscope=1&SORT=A|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Alcaraz, Lalo""%20or%20""Lalo Alcaraz""&searchscope=1&SORT=A"|Wikipedia|https://en.wikipedia.org/wiki/Lalo_Alcaraz|||grew up on the US/Mexico border in SD; creator of La Cucaracha (first nationally syndicated politically themed Latino daily comic strip)
LA-0723||no2022055120||Alfonseca, Tiffany|1994||Dominican;Afro-Latino/a/x||painter|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Alfonseca%2C+Tiffany%22%20or%20%22Tiffany+Alfonseca%22&searchscope=1&SORT=A|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Alfonseca, Tiffany""%20or%20""Tiffany Alfonseca""&searchscope=1&SORT=A"|||||included in LatinX Project's Afro Syncretic, Bronx-based
LA-0016|500336512|no91022713|Q5750663|Alfonzo, Carlos|1950|1991|Cuban||painter|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Alfonso%2C+Carlos%22+or+%22Carlos+Jose+Alfonzo+Espina%22+or+%22carlos+alfonzo%22&searchscope=1&sortdropdown=-&SORT=A&extended=0&SUBMIT=Search&searchlimits=&searchorigarg=X%22Alfonso%2C+Carlos%22+or+%22Carlos+Jose+Alfonzo+Espina%22%26SORT%3DA|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Alfonso%2C+Carlos%22+or+%22Carlos+Jose+Alfonzo+Espina%22+or+%22carlos+alfonzo%22&searchscope=1&sortdropdown=-&SORT=A&extended=0&SUBMIT=Search&searchlimits=&searchorigarg=X%22Alfonso%2C+Carlos%22+or+%22Carlos+Jose+Alfonzo+Espina%22%26SORT%3DA|Wikipedia|https://en.wikipedia.org/wiki/Carlos_Alfonzo|||born in Havana, left Cuba via the Mariel boatlift in 1980, died of AIDS in Miami in '91
LA-0001|500552461|nb98095631|Q6764520|Algaze, Mario|1947||Cuban||photographer|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Algaze%2C+Mario%22%20or%20%22Mario+Algaze%22&searchscope=1&SORT=A|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Algaze, Mario""%20or%20""Mario Algaze""&searchscope=1&SORT=A"|Wikipedia|https://en.wikipedia.org/wiki/Mario_Algaze|||studied art at Miami Dade College, Florida and from 1979 to 1981 he was the director of the Gallery Exposures in Coral Gables, Florida
