Column1|Name|Birth Date|Death Date|Description|Indexes|Watsonline|Watsonline search|Wikipedia|Wikipedia search|AAVAD|AAVAD Search|Met Collection|Met Collection search|Wikidata ID|Library of Congress authority ID|VIAF ID|Union List of Artist Names ID
11|Alston, Charles|1907|1977|illustrator; muralist; painter; sculptor||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Alston%2C+Charles%22%20or%20%22Charles+Alston%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Charles_Alston|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=5|Met Collection|https://www.metmuseum.org/art/collection/search#!?q=Alston,%20Charles&searchField=ArtistCulture|Q1906150|n92010201|40460917|500089734
12|Alvarez, Candida|1955||painter|Index of Latinx and Hispanic American Artists|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Alvarez%2C+Candida%22%20or%20%22Candida+Alvarez%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Candida_Alvarez|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=870|||Q19609556|no2001044416|63659295|
13|Amaki, Amalia|1949||mixed-media artist||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=Amaki%2C+Amalia+&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Amalia_Amaki|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=534|Met Collection|https://www.metmuseum.org/art/collection/search#!?q=Amaki,%20Amalia&searchField=ArtistCulture|Q4739388||251093031|500122250
14|Amos, Emma|1938|2020|painter; printmaker; textile/fiber artist||Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22amos%2C+emma%22+or+%22emma+amos%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Emma_Amos_(painter)|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=6|Met Collection|https://www.metmuseum.org/art/collection/search#!?q=Amos,%20Emma&searchField=ArtistCulture|Q5372719|n98111723|20579402|500124746
15|Andrews, Benny|1930|2006|collagist; painter||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=Andrews%2C+Benny+&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Benny_Andrews|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=8|Met Collection|https://www.metmuseum.org/art/collection/search#!?q=Andrews,%20Benny&searchField=ArtistCulture|Q4889934|n50022499|15570587|500111179
16|A-One [Anthony Clark]|1964|2011|graffiti/street artist||Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22A-One%22+and+%22graffiti%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/A-One_(graffiti_artist)|AAVAD|https://wayback.archive-it.org/4472/20210316162609/http://216.197.120.164/artistbibliog.cfm?id=11910|||Q2852834||96165822|500069647
17|Arceneaux, Edgar|1972||multimedia artist; performance artist; photographer; sculptor; social practice artist||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=Arceneaux%2C+Edgar+&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Edgar_Arceneaux|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=4822|||Q5337111|nr2004008347|70003052|500128804
18|Armitage, Michael|1984||painter||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Armitage%2C+Michael%22%20or%20%22Michael+Armitage%22&searchscope=1|||||Met Collection|https://www.metmuseum.org/art/collection/search#!?q=Armitage,%20Michael&searchField=ArtistCulture|Q51282423|no2015075620|316557185|
19|Armstead, Kenseth|1968||conceptual artist; installation artist; multimedia artist; sculptor; time-based media artist||Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=armstead%2C+kenseth&searchscope=1|||AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=7656|||Q104237086|||
20|Artis, William|1914|1977|ceramicist / potter; sculptor||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Artis%2C+William%22%20or%20%22William+Artis%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/William_Artis|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=361|||Q6167566|n77010059|65253990|500122099
21|Ayón, Belkis|1967|1999|printmaker|Index of Latinx and Hispanic American Artists|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22ayon%2C+belkis%22+or+%22belkis+ayon%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Belkis_Ay%C3%B3n|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=8092|||Q4883043|no00010957|56149893|500127931
22|Báez, Firelei|1981||painter|Index of Latinx and Hispanic American Artists|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Baez%2C+Firelei%22%20or%20%22Firelei+Baez%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Firelei_B%C3%A1ez|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=15220|||Q28854693|no2013038770|298742547|500355608
23|Bailey, Radcliffe|1968||installation artist; mixed-media artist; sculptor||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=Bailey%2C+Radcliffe+&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Radcliffe_Bailey|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=722|Met Collection|https://www.metmuseum.org/art/collection/search#!?q=Bailey,%20Radcliffe&searchField=ArtistCulture|Q22275399|nr95027688|17149294278680500000|500122251
24|Bailey, Xenobia|1955||designer; installation artist; textile/fiber artist||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Bailey%2C+Xenobia%22%20or%20%22Xenobia+Bailey%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Xenobia_Bailey|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=682|||Q8043522|no2016077967|309815656|500335386
25|Baker, Kyle|1965||cartoonist / comic book artist; illustrator||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Baker%2C+Kyle%22%20or%20%22Kyle+Baker%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Kyle_Baker|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=9258|||Q1795029|n87932211|65540904|
26|Baker, Matt|1921|1959|cartoonist / comic book artist||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Baker%2C+Matt%22+or+%22Matt+Baker%22+not+Heisenberg+&searchscope=1&sortdropdown=-&SORT=DY&extended=0&SUBMIT=Search&searchlimits=&searchorigarg=X%22Baker%2C+Matt%22+or+%22Matt+Baker%22%26SORT%3DDX|Wikipedia|https://en.wikipedia.org/wiki/Matt_Baker_(artist)|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=18264|||Q4016051|no2012097275|258933284|500273414
27|Ball, James Presley|1825|1904|photographer||Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%28%22Ball%2C+James+Presley%22%29+or+%28%22j.p.+ball%22%29+or+%28%22James+Presley+Ball%22%29&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/James_Presley_Ball|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=12164|Met Collection|https://www.metmuseum.org/art/collection/search#!?q=Ball,%20James%20Presley&searchField=ArtistCulture|Q6141423|n92075051|35260146|500100113
