Wikidata ID|Display Name|Birth|Death|Indexes|Description|Watsonline|Watsonline URL|Wikipedia|Wikipedia URL|Met Collection|Met Collection URL|ULAN ID|VIAF ID|LC ID|Reference for inclusion as LGBTQIA+ artist|Reference for inclusion URL
Q129022535|Caplan, Seth (Untitled Queen)||||installation artist;performance artist;photographer;sculptor|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22untitled+queen%22+or+%22seth+caplan%22+or+%22caplan%2C+seth%22&searchscope=1||||||||We Are Here: Visionaries of Color Transforming the Art World|https://library.metmuseum.org:443/record=b2018705~S1
Q7681599|Carland, Tammy Rae |1965|||book/zine artist;photographer;time-based media artist|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=tammy+carland&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Tammy_Rae_Carland||||https://viaf.org/viaf/307319113|no2016033171|Artist's wikipedia entry|https://en.wikipedia.org/wiki/Tammy_Rae_Carland
Q129016865|Carlson, Rey||||designer|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Rey Carlson%22+or+%22Carlson, Rey%22&searchscope=1||||||||Artist's website|https://reycarlson.com/about
Q5460580|Carlyle, Florence|1864|1923||painter|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Florence Carlyle%22+or+%22Carlyle, Florence%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Florence_Carlyle|||http://vocab.getty.edu/page/ulan/500098764|https://viaf.org/viaf/46165593|n2005014822|The Queer Encyclopedia of the Visual Arts|https://library.metmuseum.org:443/record=b1466091~S1
Q129022499|"Carrillo, Macario ""Tosh"""||||photographer|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22tosh%22+AND+%22carrillo%22&searchscope=1&sortdropdown=-&SORT=D&extended=0&SUBMIT=Search&searchlimits=&searchorigarg=X%22tosh%22+or+%22macario+carrillo%22%26SORT%3DD||||||||Axis Mundo : queer networks in Chicano L.A|https://library.metmuseum.org:443/record=b1954805~S1
Q242546|Carrington, Dora|1893|1932||painter;photographer|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=dora+AND+houghton+AND+carrington&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Dora_Carrington|Met Collection|https://www.metmuseum.org/art/collection/search?q=%22Carrington, Dora%22&searchField=ArtistCulture|http://vocab.getty.edu/page/ulan/500005242|https://viaf.org/viaf/9904904|n81074316|The Queer Encyclopedia of the Visual Arts|https://library.metmuseum.org:443/record=b1466091~S1
Q89398521|Casas, David Zamora|1960|||installation artist;painter;performance artist|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22David Zamora Casas %22+or+%22Casas, David Zamora%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/David_Zamora_Casas||||||The Queer Encyclopedia of the Visual Arts|https://library.metmuseum.org:443/record=b1466091~S1
Q120378292|Casid, Jill H.||||photographer;time-based media artist|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Jill+H.+Casid%22+or+%22Casid%2C+Jill+H.%22+or+%22Jill+Casid%22&searchscope=1||||||||Lesbian art in America : a contemporary history / Harmony Hammond|https://library.metmuseum.org:443/record=b1290072~S1
Q24218|Cave, Nick|1959||Index of Black Artists of North America|assemblage artist; performance artist; sculptor; textile/fiber artist|Watsonline|https://library.metmuseum.org/search~S1/X?SEARCH=(%22Cave%2C%20Nick%22%20or%20%22Nick%20Cave%22%20not%20%22cave%2C%20nick%2C%201957%22%20not%20%22bad%20seeds%22)&searchscope=1&SORT=R|Wikipedia|https://en.wikipedia.org/wiki/Nick_Cave_(performance_artist)|Met Collection|https://www.metmuseum.org/art/collection/search?q=Cave,%20Nick&searchField=ArtistCulture|http://vocab.getty.edu/page/ulan/500294218|https://viaf.org/viaf/261941653|nr00030952|Artist's wikipedia entry|https://en.wikipedia.org/wiki/Nick_Cave_(artist)
Q190116|Cellini, Benvenuto|1500|1571||sculptor|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Benvenuto Cellini%22+or+%22Cellini, Benvenuto%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Benvenuto_Cellini|Met Collection|https://www.metmuseum.org/art/collection/search?q=%22Cellini, Benvenuto%22&searchField=ArtistCulture|http://vocab.getty.edu/page/ulan/500115352|https://viaf.org/viaf/56629983|n79064913|The Queer Encyclopedia of the Visual Arts|https://library.metmuseum.org:443/record=b1466091~S1
